start_dates,end_dates,changes,errors
1990.25,1991.25,0.7049,0.3167
1991.25,1992.25,2.1559,1.6117
1992.25,1993.25,1.2416,0.2777
1993.25,1994.25,-0.016,0.2827
1994.25,1995.25,0.4049,0.5886
1995.25,1996.25,0.2563,0.4253
1996.25,1997.25,-0.1845,0.2671
1997.25,1998.25,2.2539,1.9352
1998.25,1999.25,-1.7228,1.0875
1999.25,2000.25,-0.5393,0.3748
2000.25,2001.25,-0.0294,0.4273
2001.25,2002.25,-0.4798,0.2114
2002.25,2003.25,-0.2724,0.288
2003.25,2004.25,-0.1246,0.1732
2004.25,2005.25,-0.12,0.2177
2005.25,2006.25,-0.5227,0.2972
2006.25,2007.25,-0.2454,0.2591
2007.25,2008.25,-0.3427,0.2319
2008.25,2009.25,-0.3639,0.2034
2009.25,2010.25,0.3655,0.1574
2010.25,2011.25,0.026,0.1561
2011.25,2012.25,-0.0398,0.1717
2012.25,2013.25,0.1312,0.1412
2013.25,2014.25,0.2395,0.208
2014.25,2015.25,0.1683,0.2649
2015.25,2016.25,-0.3595,0.3007
2016.25,2017.25,-0.3474,0.255
2017.25,2018.25,-0.2725,0.2556
2018.25,2019.25,-0.0164,0.254
2019.25,2020.25,-0.6063,0.3575
2020.25,2021.25,-0.5651,0.2956
