start_dates,end_dates,changes,errors
1990.75,1991.75,-0.8544,0.6048
1991.75,1992.75,-0.9266,0.6096
1992.75,1993.75,-1.406,0.4974
1993.75,1994.75,-1.1794,0.3776
1994.75,1995.75,-0.9149,0.4836
1995.75,1996.75,0.5824,0.2572
1996.75,1997.75,-0.3063,0.4983
1997.75,1998.75,-1.9267,0.2947
1998.75,1999.75,1.2572,0.3492
1999.75,2000.75,0.8523,0.2622
2000.75,2001.75,-0.2391,0.5201
2001.75,2002.75,-0.4227,0.6283
2002.75,2003.75,-0.8413,0.305
2003.75,2004.75,-1.1103,0.3748
2004.75,2005.75,-1.1277,0.4742
2005.75,2006.75,-1.4821,0.4358
2006.75,2007.75,-0.0792,0.2916
2007.75,2008.75,-0.3845,0.4457
2008.75,2009.75,-0.4993,0.5648
2009.75,2010.75,0.441,0.2408
2010.75,2011.75,0.4485,0.4634
2011.75,2012.75,0.7485,0.3272
2012.75,2013.75,-1.4871,0.341
2013.75,2014.75,-1.1629,0.1789
2014.75,2015.75,-1.3591,0.504
2015.75,2016.75,-0.8444,0.1673
2016.75,2017.75,-0.4542,0.2958
2017.75,2018.75,-0.7356,0.2657
2018.75,2019.75,-1.2216,0.233
2019.75,2020.75,-0.646,0.2754
2020.75,2021.75,-1.8487,0.2946
