start_dates,end_dates,changes,errors
1990.75,1991.75,-0.5835,0.3145
1991.75,1992.75,-0.3792,0.2377
1992.75,1993.75,-0.5345,0.2246
1993.75,1994.75,-0.4718,0.1949
1994.75,1995.75,-0.5743,0.225
1995.75,1996.75,-0.2729,0.5449
1996.75,1997.75,-0.3066,0.2102
1997.75,1998.75,-0.6352,0.4139
1998.75,1999.75,-0.5724,0.1636
1999.75,2000.75,-0.6423,0.2332
2000.75,2001.75,-0.7865,0.2541
2001.75,2002.75,-0.3163,0.263
2002.75,2003.75,-0.2831,0.3322
2003.75,2004.75,-0.3607,0.2325
2004.75,2005.75,-0.7925,0.2855
2005.75,2006.75,-0.4987,0.2388
2006.75,2007.75,-0.8076,0.2823
2007.75,2008.75,-0.8297,0.1893
2008.75,2009.75,-0.8365,0.1936
2009.75,2010.75,-0.8861,0.7868
2010.75,2011.75,-1.2379,0.2581
2011.75,2012.75,-0.9786,0.2356
2012.75,2013.75,-0.314,0.2158
2013.75,2014.75,-0.6503,0.3486
2014.75,2015.75,-0.5739,0.3167
2015.75,2016.75,-0.8785,0.1457
2016.75,2017.75,-0.4943,0.139
2017.75,2018.75,-0.2501,0.1826
2018.75,2019.75,-0.9417,0.1818
2019.75,2020.75,-0.9869,0.2215
2020.75,2021.75,-1.1375,0.1838
