start_dates,end_dates,changes,errors
1990.75,1991.75,-0.8596,0.3744
1991.75,1992.75,-0.6702,0.2609
1992.75,1993.75,-0.0169,0.2079
1993.75,1994.75,-0.5316,0.2406
1994.75,1995.75,0.2659,0.1662
1995.75,1996.75,-0.1388,0.1968
1996.75,1997.75,-0.1104,0.2677
1997.75,1998.75,-1.4596,0.4255
1998.75,1999.75,-0.5604,0.4559
1999.75,2000.75,-0.5944,0.2916
2000.75,2001.75,0.4482,0.1989
2001.75,2002.75,-0.5348,0.233
2002.75,2003.75,-1.9357,0.2105
2003.75,2004.75,-0.6748,0.1588
2004.75,2005.75,-1.2029,0.126
2005.75,2006.75,-1.1778,0.2401
2006.75,2007.75,-0.9995,0.1893
2007.75,2008.75,-0.963,0.1247
2008.75,2009.75,-0.8375,0.3056
2009.75,2010.75,-0.3716,0.128
2010.75,2011.75,-1.2472,0.1592
2011.75,2012.75,-1.3513,0.1316
2012.75,2013.75,-0.2703,0.1323
2013.75,2014.75,-0.081,0.1304
2014.75,2015.75,-1.599,0.161
2015.75,2016.75,-0.7779,0.1594
2016.75,2017.75,-1.3488,0.19
2017.75,2018.75,-1.3082,0.1479
2018.75,2019.75,-0.9375,0.1345
2019.75,2020.75,-0.6261,0.2043
2020.75,2021.75,-0.5618,0.2236
